Year,Drought Count,Drought Cost,Flooding Count,Flooding Cost,Freeze Count,Freeze Cost,Severe Storm Count,Severe Storm Cost,Tropical Cyclone Count,Tropical Cyclone Cost,Wildfire Count,Wildfire Cost,Winter Storm Count,Winter Storm Cost,All Disasters Count,All Disasters Cost,delta.temp
1980,1,39.6,1,2.7,0,0,0,0,1,2.2,0,0,0,0,3,44.5,0.27
1981,0,0,0,0,1,2,1,1.4,0,0,0,0,0,0,2,3.4,0.33
1982,0,0,0,0,0,0,2,3.1,0,0,0,0,1,2.2,3,5.3,0.13
1983,1,9.3,3,10.7,1,6.3,0,0,1,9.2,0,0,0,0,6,35.5,0.3
1984,0,0,0,0,0,0,2,3.1,0,0,0,0,0,0,2,3.1,0.16
1985,0,0,1,3.9,1,3.5,1,1.7,3,10.3,0,0,1,2.4,7,21.8,0.12
1986,1,5.1,1,1.1,0,0,1,1.5,0,0,0,0,0,0,3,7.7,0.19
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33
1988,1,53,0,0,0,0,0,0,0,0,0,0,0,0,1,53,0.41
1989,1,7.6,0,0,1,5.1,1,1.4,2,23.5,0,0,1,1.7,6,39.3,0.29
1990,0,0,1,2.4,1,8.2,1,1.9,0,0,1,1.7,0,0,4,14.2,0.44
1991,1,6.9,0,0,0,0,1,1.5,1,3.4,1,7.4,0,0,4,19.2,0.43
1992,0,0,0,0,0,0,4,6.9,2,65.6,0,0,1,5.4,7,77.9,0.23
1993,1,2.7,1,45.1,0,0,1,1.4,0,0,1,2.9,1,11.9,5,64,0.24
1994,0,0,1,2.1,0,0,1,2,1,2.1,1,1.5,2,8.5,6,16.2,0.32
1995,1,2,1,5.1,0,0,2,12.3,3,15.3,0,0,0,0,7,34.7,0.45
1996,1,3.6,2,3.3,0,0,0,0,1,9.8,0,0,1,6,5,22.7,0.35
1997,0,0,2,12.9,0,0,1,1.9,0,0,0,0,0,0,3,14.8,0.48
1998,1,6.7,1,1.8,1,4.8,4,8.9,3,14.4,0,0,1,2.7,11,39.3,0.63
1999,1,4.7,0,0,0,0,1,3.7,1,11.9,0,0,2,3.5,5,23.8,0.42
2000,1,9.1,1,1.6,0,0,1,1.2,0,0,1,1.9,1,1.3,5,15.1,0.42
2001,0,0,0,0,0,0,2,6.6,1,14.7,0,0,0,0,3,21.3,0.54
2002,1,15.6,0,0,0,0,2,4.8,2,3.9,1,2.2,0,0,6,26.5,0.63
2003,1,8.5,0,0,0,0,4,13.4,1,9.1,1,6.5,0,0,7,37.5,0.62
2004,0,0,0,0,0,0,2,2.7,4,87.1,0,0,0,0,6,89.8,0.55
2005,1,2.4,0,0,0,0,1,1.4,4,256.7,0,0,0,0,6,260.5,0.69
2006,1,9.3,1,2.3,0,0,5,10.6,0,0,1,2.3,0,0,8,24.5,0.64
2007,1,5.4,0,0,2,5.2,1,3.7,0,0,1,4,0,0,5,18.3,0.66
2008,1,10.2,1,14.4,0,0,6,12.9,3,52.2,1,1.7,0,0,12,91.4,0.54
2009,1,5.1,1,1.3,0,0,6,11.5,0,0,1,1.4,0,0,9,19.3,0.65
2010,0,0,2,5.8,0,0,4,12.6,0,0,0,0,1,1.2,7,19.6,0.73
2011,1,16.6,2,7,0,0,10,44,2,21.8,1,2.5,2,3.8,18,95.7,0.61
2012,1,40.5,0,0,0,0,7,22,2,90.2,1,2.3,0,0,11,155,0.64
2013,1,13.9,2,3.4,0,0,7,14.2,0,0,0,0,0,0,10,31.5,0.66
2014,1,5.2,1,1.3,0,0,7,15.6,0,0,0,0,1,2.8,10,24.9,0.75
2015,1,5.9,2,5.9,0,0,6,10.6,0,0,1,3.9,1,3.9,11,30.2,0.9
2016,1,4.5,4,20.8,0,0,8,18.8,1,12.7,1,3,0,0,15,59.8,1.02
2017,1,3.2,2,4,1,1.3,11,24.1,3,328.6,1,22.5,0,0,19,383.7,0.93
2018,1,3.7,0,0,0,0,10,16.5,2,59.5,1,29.3,2,4,16,113,0.85
2019,0,0,3,24.2,0,0,8,16.6,2,7.9,1,5.4,0,0,14,54.1,0.99
2020,1,5.3,0,0,0,0,13,39.7,7,53.1,1,19.4,0,0,22,117.5,1.02
2021,1,9.9,2,2.8,0,0,11,22.5,4,86.3,1,11.8,1,26.5,20,159.8,0.85
2022,1,22.9,1,1.5,0,0,11,22.4,3,120,1,3.2,1,8.7,18,178.7,0.89
2023,1,14.5,4,9.2,0,0,19,54,2,7.8,1,5.6,1,1.8,28,92.9,1.17
