Year,Drought Count,Flooding Count,Freeze Count,Severe Storm Count,Tropical Cyclone Count,Wildfire Count,Winter Storm Count,All Disasters Count,delta.temp
1980,1,1,0,0,1,0,0,3,0.27
1981,0,0,1,1,0,0,0,2,0.33
1982,0,0,0,2,0,0,1,3,0.13
1983,1,3,1,0,1,0,0,6,0.3
1984,0,0,0,2,0,0,0,2,0.16
1985,0,1,1,1,3,0,1,7,0.12
1986,1,1,0,1,0,0,0,3,0.19
1987,0,0,0,0,0,0,0,0,0.33
1988,1,0,0,0,0,0,0,1,0.41
1989,1,0,1,1,2,0,1,6,0.29
1990,0,1,1,1,0,1,0,4,0.44
1991,1,0,0,1,1,1,0,4,0.43
1992,0,0,0,4,2,0,1,7,0.23
1993,1,1,0,1,0,1,1,5,0.24
1994,0,1,0,1,1,1,2,6,0.32
1995,1,1,0,2,3,0,0,7,0.45
1996,1,2,0,0,1,0,1,5,0.35
1997,0,2,0,1,0,0,0,3,0.48
1998,1,1,1,4,3,0,1,11,0.63
1999,1,0,0,1,1,0,2,5,0.42
2000,1,1,0,1,0,1,1,5,0.42
2001,0,0,0,2,1,0,0,3,0.54
2002,1,0,0,2,2,1,0,6,0.63
2003,1,0,0,4,1,1,0,7,0.62
2004,0,0,0,2,4,0,0,6,0.55
2005,1,0,0,1,4,0,0,6,0.69
2006,1,1,0,5,0,1,0,8,0.64
2007,1,0,2,1,0,1,0,5,0.66
2008,1,1,0,6,3,1,0,12,0.54
2009,1,1,0,6,0,1,0,9,0.65
2010,0,2,0,4,0,0,1,7,0.73
2011,1,2,0,10,2,1,2,18,0.61
2012,1,0,0,7,2,1,0,11,0.64
2013,1,2,0,7,0,0,0,10,0.66
2014,1,1,0,7,0,0,1,10,0.75
2015,1,2,0,6,0,1,1,11,0.9
2016,1,4,0,8,1,1,0,15,1.02
2017,1,2,1,11,3,1,0,19,0.93
2018,1,0,0,10,2,1,2,16,0.85
2019,0,3,0,8,2,1,0,14,0.99
2020,1,0,0,13,7,1,0,22,1.02
2021,1,2,0,11,4,1,1,20,0.85
2022,1,1,0,11,3,1,1,18,0.89
2023,1,4,0,19,2,1,1,28,1.17
